tagname	cur_value	time	gw
A4904-PI-0508	91876.8431758889	2026-01-13 01:07:00.213	1
A4909-PI-0113	29547.9819415705	2026-01-13 01:07:00.213	1
A4911-PT-0109	94283.1674863483	2026-01-13 01:07:00.213	1
A4913-PI-0116	88357.0366953008	2026-01-13 01:07:00.213	1
A500-FR-BV10	54485.2171414222	2026-01-13 01:07:00.213	1
A500-FR-LKB	78009.8396874786	2026-01-13 01:07:00.213	1
A505-PR-004	72577.9028585221	2026-01-13 01:07:00.213	1
A5100-C1-2830	82214.6442410548	2026-01-13 01:07:00.213	1
A5100-C2-2830	6292.11675745754	2026-01-13 01:07:00.213	1
A5100-C3-2830	16611.8387291615	2026-01-13 01:07:00.213	1
A5100-CO2-2830	80759.5940266198	2026-01-13 01:07:00.213	1
A5100-CO2I1680A	61768.2388472281	2026-01-13 01:07:00.213	1
A5100-FI-1680A	4928.76673643839	2026-01-13 01:07:00.213	1
A5100-FI-1681A	24683.549471049	2026-01-13 01:07:00.213	1
A5100-FI-1682A	64819.5456442948	2026-01-13 01:07:00.213	1
A5100-FI-2830	84502.9163256652	2026-01-13 01:07:00.213	1
A5100-FI-2840	77938.3547044382	2026-01-13 01:07:00.213	1
A5100-FI-2850	40338.3354644942	2026-01-13 01:07:00.213	1
A5100-FI-2860	48530.5011235553	2026-01-13 01:07:00.213	1
A5100-FI-2870	74753.1880880258	2026-01-13 01:07:00.213	1
A5100-GHV-001	967.794312705076	2026-01-13 01:07:00.213	1
A5100-GHV-1680A	966.01562991619	2026-01-13 01:07:00.213	1
A5100-GHV-1681A	958.219999969536	2026-01-13 01:07:00.213	1
A5100-GHV-1682A	966.28975262562	2026-01-13 01:07:00.213	1
A5100-GHVs-2830	960.913626495192	2026-01-13 01:07:00.213	1
A5100-IC4-2830	22884.1944158162	2026-01-13 01:07:00.213	1
A5100-IC5-2830	10371.8038653157	2026-01-13 01:07:00.213	1
A5100-N2-2830	56318.2293386655	2026-01-13 01:07:00.213	1
A5100-NC4-2830	44193.2390226118	2026-01-13 01:07:00.213	1
A5100-NC5-2830	66358.4777863938	2026-01-13 01:07:00.213	1
A5100-NC6-2830	86962.2668152275	2026-01-13 01:07:00.213	1
A5100-PI-1663	15047.4029635506	2026-01-13 01:07:00.213	1
A5100-PI-2912	35344.9548538795	2026-01-13 01:07:00.213	1
A5100-SG-2830	85971.8814286944	2026-01-13 01:07:00.213	1
A5100-TI-1660	69008.488428028	2026-01-13 01:07:00.213	1
A5100FY120A562	53349.0408172479	2026-01-13 01:07:00.213	1
A5500-FT-750	46182.4217518077	2026-01-13 01:07:00.213	1
A5500-FT-760	67977.7296584308	2026-01-13 01:07:00.213	1
A5500-FT-850	27751.7926043582	2026-01-13 01:07:00.213	1
A5500-FT-860	70537.4126310147	2026-01-13 01:07:00.213	1
A5500-FT-950	97176.3432520923	2026-01-13 01:07:00.213	1
A5500-FT-960	99360.2121328958	2026-01-13 01:07:00.213	1
A5550-AI-020A	36638.6236032192	2026-01-13 01:07:00.213	1
A5550-AI-022CO2	36617.8696166462	2026-01-13 01:07:00.213	1
A5550-AI-502	85187.3268016861	2026-01-13 01:07:00.213	1
A5550-PI-001	13272.1327222642	2026-01-13 01:07:00.213	1
A5560-PI-001	64812.5771708765	2026-01-13 01:07:00.213	1
A5560-PI-008	50885.9949647461	2026-01-13 01:07:00.213	1
A5600-PI-006	83449.6583754083	2026-01-13 01:07:00.213	1
A5600-PI-008	76344.6756801697	2026-01-13 01:07:00.213	1
A5602-PI-0110	33191.9435459422	2026-01-13 01:07:00.213	1
A5602-PI-0208	9887.25088693317	2026-01-13 01:07:00.213	1
A5611-PI-0310	9888.70808874998	2026-01-13 01:07:00.213	1
A5611-PR-006	68999.3281690104	2026-01-13 01:07:00.213	1
A5614-PI-0219	28964.1722471481	2026-01-13 01:07:00.213	1
A5614-PI-0226	13178.6124812649	2026-01-13 01:07:00.213	1
A5614-PI-0317	1903.33827514979	2026-01-13 01:07:00.213	1
A5614-PI-0332	67142.3512462612	2026-01-13 01:07:00.213	1
A5614-PR-0103	75847.9614357045	2026-01-13 01:07:00.213	1
A5614-PR-0107	7321.15787325041	2026-01-13 01:07:00.213	1
A5650-PR-0114	99725.654737463	2026-01-13 01:07:00.213	1
A5651-PI-0214	20462.7057632295	2026-01-13 01:07:00.213	1
A5651-PI-0216	84305.4924240119	2026-01-13 01:07:00.213	1
A5810-PI-001	77446.0028099298	2026-01-13 01:07:00.213	1
A5810-PI-008	76898.7387779982	2026-01-13 01:07:00.213	1
A5810-TI-103	18353.7049610072	2026-01-13 01:07:00.213	1
A5931-AI-1003	93158.479979702	2026-01-13 01:07:00.213	1
A5931-PI-3021	34031.0756107998	2026-01-13 01:07:00.213	1
A5940-PI-3007	6148.13734408607	2026-01-13 01:07:00.213	1
A6178-PI-0314	10004.3652718825	2026-01-13 01:07:00.213	1
A6178-PI-0340	7211.03101179516	2026-01-13 01:07:00.213	1
A630-PI-514	42192.0467664526	2026-01-13 01:07:00.213	1
A630-PI-547	50645.0305624194	2026-01-13 01:07:00.213	1
A630-TI-534A	12218.2448670719	2026-01-13 01:07:00.213	1
A630-TI-539A	51594.171223378	2026-01-13 01:07:00.213	1
A630-TI-544A	91482.766931759	2026-01-13 01:07:00.213	1
A631-PI-001	83514.8967925434	2026-01-13 01:07:00.213	1
A631-PI-002	83827.7006107737	2026-01-13 01:07:00.213	1
A632-FR-001	88281.4589654883	2026-01-13 01:07:00.213	1
A632-PR-010	66228.3530304574	2026-01-13 01:07:00.213	1
A632-PR-015	96694.0992257755	2026-01-13 01:07:00.213	1
A636-PR-003	12982.726669303	2026-01-13 01:07:00.213	1
A636-PR-005	34058.8753530928	2026-01-13 01:07:00.213	1
A6500-PI-3041	9394.98368723926	2026-01-13 01:07:00.213	1
A6503-AI-0202	31420.9355135672	2026-01-13 01:07:00.213	1
A6503-AI-0204	56853.9329833798	2026-01-13 01:07:00.213	1
A6503-OMA-0310	73252.6435189361	2026-01-13 01:07:00.213	1
A6503-OMA-0314	76097.6618702074	2026-01-13 01:07:00.213	1
A6503-PI-0110	31576.7085789115	2026-01-13 01:07:00.213	1
A6503-PI-0222A	48547.142421748	2026-01-13 01:07:00.213	1
A6503-PI-0222B	83501.6145579764	2026-01-13 01:07:00.213	1
A6503-PI-0222C	58051.0430501697	2026-01-13 01:07:00.213	1
A6503-PI-0222D	63558.1375091375	2026-01-13 01:07:00.213	1
A6503-PI-0230	28862.0291602259	2026-01-13 01:07:00.213	1
A6503-PI-0233	87951.0429998507	2026-01-13 01:07:00.213	1
A6503-PI-0302	38731.4251710391	2026-01-13 01:07:00.213	1
A6503-PI-0335A	8551.76358153507	2026-01-13 01:07:00.213	1
A6503-PI-0335B	51692.6725432709	2026-01-13 01:07:00.213	1
A6503-PI-0335C	92488.9257483707	2026-01-13 01:07:00.213	1
A6503-PI-0335D	97166.8334722253	2026-01-13 01:07:00.213	1
A6503-PI-222A	23724.7458236308	2026-01-13 01:07:00.213	1
A6546-PI-0320	13579.814830679	2026-01-13 01:07:00.213	1
A6546-PI-0328	47452.5899437673	2026-01-13 01:07:00.213	1
A658-PI-101	89012.0247036941	2026-01-13 01:07:00.213	1
A661-FR-002	8234.090426059	2026-01-13 01:07:00.213	1
A661-PR-075	40723.1267100097	2026-01-13 01:07:00.213	1
A661-PR-082	56687.4878138572	2026-01-13 01:07:00.213	1
A661-PR-085	93581.302647744	2026-01-13 01:07:00.213	1
A661-PT-001	19570.6601205728	2026-01-13 01:07:00.213	1
A661-PT-003	79589.7147382445	2026-01-13 01:07:00.213	1
A6700-AT-102A	4108.71728572188	2026-01-13 01:07:00.213	1
A6702-PI-0110	32984.7516213584	2026-01-13 01:07:00.213	1
A6702-PI-0208	52624.3855894518	2026-01-13 01:07:00.213	1
A6703-DNTS0115A	18821.3417978711	2026-01-13 01:07:00.213	1
A6703-FRS-0115A	48708.4393842182	2026-01-13 01:07:00.213	1
A6703-PI-0116	90925.7164748934	2026-01-13 01:07:00.213	1
A6706-PI-0202	50679.3467427968	2026-01-13 01:07:00.213	1
A6706-PI-0207	58044.2229843826	2026-01-13 01:07:00.213	1
A6706-PI-0415	59146.9270571861	2026-01-13 01:07:00.213	1
A6706-PI-0423	79459.9815441359	2026-01-13 01:07:00.213	1
A6706-PT-0108	94378.371080821	2026-01-13 01:07:00.213	1
A671-FR-001	32480.325782601	2026-01-13 01:07:00.213	1
A671-PR-001	40185.7970153338	2026-01-13 01:07:00.213	1
A671-PT-002	79155.7006996225	2026-01-13 01:07:00.213	1
A671-PT-003	76124.5362657443	2026-01-13 01:07:00.213	1
A673-PR-002	15386.7202069686	2026-01-13 01:07:00.213	1
A6750-PI-311	18775.6660963206	2026-01-13 01:07:00.213	1
A6750-PI-427	48529.9278701808	2026-01-13 01:07:00.213	1
A6750-PI-429	56034.2753977241	2026-01-13 01:07:00.213	1
A6810-PI-0117	38404.6018707691	2026-01-13 01:07:00.213	1
A6810-PI-0202	55707.9428788307	2026-01-13 01:07:00.213	1
A690-PI-001	80892.4508404143	2026-01-13 01:07:00.213	1
A690-PI-002	91940.537080825	2026-01-13 01:07:00.213	1
A692-PR-001	24559.551358927	2026-01-13 01:07:00.213	1
A692-PR-004	51679.0300434626	2026-01-13 01:07:00.213	1
AZMS-FY84152A-18	94418.0708434717	2026-01-13 01:07:00.213	1
AZMS-FY84152A-31	6823.70512665085	2026-01-13 01:07:00.213	1
AZMS-FY84302A-18	29057.9100038262	2026-01-13 01:07:00.213	1
AZMS-PIA-84601A	59679.9932361584	2026-01-13 01:07:00.213	1
CA0100-FR-471AB	94011.3078051269	2026-01-13 01:07:00.213	1
CA0100-FR-471AC	8695.76094223101	2026-01-13 01:07:00.213	1
CA0100-FR-471CD	60091.4227040587	2026-01-13 01:07:00.213	2
CA0100-FRS-471AC	35301.4019152044	2026-01-13 01:07:00.213	1
CA0272-FR-TOTALA	61300.5162708507	2026-01-13 01:07:00.213	1
CA0300-FR-OCS1D	70345.6469834911	2026-01-13 01:07:00.213	1
CA0330-FR-060	45989.4797756064	2026-01-13 01:07:00.213	1
CA0330-FR-080	55830.3537742413	2026-01-13 01:07:00.213	1
CA0330-FR-2205	11510.2259896799	2026-01-13 01:07:00.213	1
CA0330-FR-7505	89595.6085543043	2026-01-13 01:07:00.213	1
CA0330-FR-8505	27508.2475821408	2026-01-13 01:07:00.213	1
CA0330-FR-8605	20147.0693718528	2026-01-13 01:07:00.213	1
CA0330-FR-8905	66525.8304028597	2026-01-13 01:07:00.213	1
CA0402-FR-5901	7269.83870720663	2026-01-13 01:07:00.213	1
CA0402-FR-5902	83210.3951625777	2026-01-13 01:07:00.213	1
CA0402-FR-6807	96273.1319141773	2026-01-13 01:07:00.213	1
CA0402-FR-6814	49256.6827051844	2026-01-13 01:07:00.213	1
CA0402-FR-7305	99439.9525738979	2026-01-13 01:07:00.213	1
CA0402-FR-TNP2	66131.7431751778	2026-01-13 01:07:00.213	1
CA0403-FR-1206	5462.21941261785	2026-01-13 01:07:00.213	1
CA0440-FR-1806	77553.1801329546	2026-01-13 01:07:00.213	1
CA0440-FR-2504	89687.6303101407	2026-01-13 01:07:00.213	1
CA0440-FR-2604	73099.1850820067	2026-01-13 01:07:00.213	1
CA0440-FR-2805	42932.0701210874	2026-01-13 01:07:00.213	1
CA0440-FR-TOP	75964.2403457513	2026-01-13 01:07:00.213	1
CA0465-FR-0705	99051.9697636661	2026-01-13 01:07:00.213	1
CA0465-FR-0805	48137.9231463219	2026-01-13 01:07:00.213	1
CA0505-FR-0610	18784.7537013327	2026-01-13 01:07:00.213	1
CA0505-FR-0611	98826.0662759826	2026-01-13 01:07:00.213	1
CA0631-FR-GNNK	51748.707075495	2026-01-13 01:07:00.213	1
CA0633-FR-0307	58528.4906042688	2026-01-13 01:07:00.213	1
CA0636-FR-0701	91664.1771345411	2026-01-13 01:07:00.213	1
CA0673-FR-GTLC	83044.2612373165	2026-01-13 01:07:00.213	1
CA0681-FI-301	1648.14140053057	2026-01-13 01:07:00.213	1
CA0692-FR-GKP1	475.045484821533	2026-01-13 01:07:00.213	1
CA0692-FR-GKP2	12095.7090345751	2026-01-13 01:07:00.213	1
CA0697-FR-001	51564.5988713201	2026-01-13 01:07:00.213	1
CA0697-FR-0307	78472.7817837386	2026-01-13 01:07:00.213	1
CA0697-FR-301	90323.5613760356	2026-01-13 01:07:00.213	1
CA1020-FRS-001E	81977.0626523611	2026-01-13 01:07:00.213	1
CA1020-FRS-002H	67196.8694015985	2026-01-13 01:07:00.213	1
CA1020-GHS-001	65772.2562722828	2026-01-13 01:07:00.213	1
CA1020-GHV-003	953.432677425874	2026-01-13 01:07:00.213	1
CA140-CO2-PAILIN	49170.9987449333	2026-01-13 01:07:00.213	1
CA140-FQI-CRNTN	43737.9250583014	2026-01-13 01:07:00.213	1
CA200-CO2-36	96273.1719137131	2026-01-13 01:07:00.213	1
CA200-CO2-ERWBPT	39784.4668698727	2026-01-13 01:07:00.213	1
CA200-CO2-OUT34	19305.1635700188	2026-01-13 01:07:00.213	1
CA200-CO2-TRANC2	72274.1883822057	2026-01-13 01:07:00.213	1
CA200-FOUT-034	25965.1153334048	2026-01-13 01:07:00.213	1
CA200-FOUT-036	94887.5609590334	2026-01-13 01:07:00.213	1
CA200-FR-ECPP	87400.9365505484	2026-01-13 01:07:00.213	1
CA200-PR-ECPP	11784.3234432918	2026-01-13 01:07:00.213	1
CA200-TR-ECPP	66546.630927086	2026-01-13 01:07:00.213	1
CA2002-FR-KN4	14151.6921427879	2026-01-13 01:07:00.213	1
CA201-FR-SATUN	86415.4764371592	2026-01-13 01:07:00.213	1
CA201-PR-SATUN	35500.5406671895	2026-01-13 01:07:00.213	1
CA201-TR-SATUN	635.227975824239	2026-01-13 01:07:00.213	1
CA202-FR-1850	78645.2903519927	2026-01-13 01:07:00.213	1
CA202-FR-PCPP	39640.0020695706	2026-01-13 01:07:00.213	1
CA202-PR-PCPP	87249.648523267	2026-01-13 01:07:00.213	1
CA202-TR-PCPP	15085.1180953454	2026-01-13 01:07:00.213	1
CA203-FR-BANPOT	88898.6936019936	2026-01-13 01:07:00.213	1
CA203-PR-BANPOT	79485.9720817288	2026-01-13 01:07:00.213	1
CA203-TR-BANPOT	63440.7018096219	2026-01-13 01:07:00.213	1
CA204-FR-FUNAN	7631.87024803848	2026-01-13 01:07:00.213	1
CA204-PR-FUNAN	8352.150879995	2026-01-13 01:07:00.213	1
CA204-TR-FUNAN	51331.0219799507	2026-01-13 01:07:00.213	1
